Time,Setpoint,Speed,Control,Load
26.508,10,10.125,4.08029,-1.5
26.509,10,10.125,4.08028,-1.5
26.51,10,10.125,4.08027,-1.5
26.511,10,10.125,4.08027,-1.5
26.512,10,10.1249,4.08026,-1.5
26.513,10,10.1249,4.08025,-1.5
26.514,10,10.1249,4.08024,-1.5
26.515,10,10.1249,4.08024,-1.5
26.516,10,10.1249,4.08023,-1.5
26.517,10,10.1249,4.08022,-1.5
26.518,10,10.1249,4.08021,-1.5
26.519,10,10.1249,4.08021,-1.5
26.52,10,10.1249,4.0802,-1.5
26.521,10,10.1248,4.08019,-1.5
26.522,10,10.1248,4.08018,-1.5
26.523,10,10.1248,4.08018,-1.5
26.524,10,10.1248,4.08017,-1.5
26.525,10,10.1248,4.08016,-1.5
26.526,10,10.1248,4.08015,-1.5
26.527,10,10.1248,4.08015,-1.5
26.528,10,10.1248,4.08014,-1.5
26.529,10,10.1247,4.08013,-1.5
26.53,10,10.1247,4.08012,-1.5
26.531,10,10.1247,4.08012,-1.5
26.532,10,10.1247,4.08011,-1.5
26.533,10,10.1247,4.0801,-1.5
26.534,10,10.1247,4.08009,-1.5
26.535,10,10.1247,4.08008,-1.5
26.536,10,10.1247,4.08008,-1.5
26.537,10,10.1247,4.08007,-1.5
26.538,10,10.1246,4.08006,-1.5
26.539,10,10.1246,4.08005,-1.5
26.54,10,10.1246,4.08005,-1.5
26.541,10,10.1246,4.08004,-1.5
26.542,10,10.1246,4.08003,-1.5
26.543,10,10.1246,4.08002,-1.5
26.544,10,10.1246,4.08002,-1.5
26.545,10,10.1246,4.08001,-1.5
26.546,10,10.1245,4.08,-1.5
26.547,10,10.1245,4.07999,-1.5
26.548,10,10.1245,4.07999,-1.5
26.549,10,10.1245,4.07998,-1.5
26.55,10,10.1245,4.07997,-1.5
26.551,10,10.1245,4.07996,-1.5
26.552,10,10.1245,4.07996,-1.5
26.553,10,10.1245,4.07995,-1.5
26.554,10,10.1245,4.07994,-1.5
26.555,10,10.1244,4.07993,-1.5
26.556,10,10.1244,4.07993,-1.5
26.557,10,10.1244,4.07992,-1.5
26.558,10,10.1244,4.07991,-1.5
26.559,10,10.1244,4.0799,-1.5
26.56,10,10.1244,4.0799,-1.5
26.561,10,10.1244,4.07989,-1.5
26.562,10,10.1244,4.07988,-1.5
26.563,10,10.1243,4.07987,-1.5
